id,predict_set_y,target_y
0,4.0,0.0
1,2.0,2.0
2,2.0,1.0
3,1.0,0.0
4,0.0,0.0
5,0.0,0.0
6,4.0,3.0
7,2.0,0.0
8,1.0,2.0
9,4.0,1.0
10,1.0,0.0
11,1.0,0.0
12,1.0,2.0
13,1.0,0.0
14,4.0,0.0
15,0.0,0.0
16,1.0,1.0
17,1.0,0.0
18,2.0,0.0
19,0.0,0.0
20,4.0,0.0
21,0.0,0.0
22,1.0,1.0
23,4.0,3.0
24,4.0,4.0
25,0.0,0.0
26,2.0,0.0
27,4.0,0.0
28,1.0,0.0
29,1.0,3.0
30,4.0,0.0
31,2.0,2.0
32,2.0,1.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,3.0
37,1.0,1.0
38,2.0,3.0
39,2.0,0.0
40,4.0,4.0
41,4.0,0.0
42,2.0,0.0
43,0.0,0.0
44,1.0,1.0
45,4.0,4.0
46,1.0,0.0
47,1.0,4.0
48,2.0,0.0
49,4.0,0.0
50,0.0,0.0
51,2.0,0.0
52,1.0,2.0
53,0.0,0.0
